,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
2750,0.002048808
2752,-0.002648604
2754,0.010247789
2756,-0.016693743
2758,-0.000181194
2760,0.021413362
2762,-0.009044998
2764,-0.006549593
2766,0.007066642
2768,-0.00462292
2770,-0.005040331
2772,0.012988844
2774,-0.008158676
2776,-0.008688863
2778,0.016809909
2780,0.004615376
2782,-0.030586016
2784,0.018441962
2786,0.013758032
2788,-0.018750576
2790,0.01391849
2792,-0.016785196
2794,0.00800107
2796,0.007833743
2798,-0.01808987
2800,0.013508219
2802,0.004649683
2804,-0.014564321
2806,-0.002215034
2808,0.015012115
2810,0.008527252
2812,-0.027587394
2814,0.008005155
2816,0.015017043
2818,-0.014350322
2820,0.007175632
2822,0.001501482
2824,-0.009897339
2826,0.013143464
2828,-0.020033785
2830,0.028637807
2832,-0.018900155
2834,0.000985327
2836,0.001471813
2838,-0.00027673
2840,0.002936818
2842,-0.009103264
2844,0.02129848
2846,-0.012480151
2848,-0.016893502
2850,0.026980448
2852,-0.012784633
2854,-0.001753073
2856,-0.001467975
2858,0.003747421
2860,0.013855378
2862,-0.022397306
2864,0.01512142
2866,-0.008407831
2868,-0.001620969
2870,0.0117169
2872,-0.008661656
2874,-0.012742829
2876,0.018855113
2878,0.007188897
2880,-0.021576692
2882,0.006362094
2884,0.00827496
2886,-0.00683194
2888,-0.005886181
2890,0.015620455
2892,-0.011485373
2894,-0.000301473
2896,0.0060625
2898,-0.005888919
2900,-0.008803439
2902,0.02376402
2904,-0.013596394
2906,0.007463326
2908,-0.007229112
2910,-0.000690348
2912,0.000509316
2914,0.001927659
2916,0.010805276
2918,-0.014276335
2920,0.001665327
2922,-0.005557807
2924,0.00771511
2926,0.007331818
2928,-0.006731504
2930,-0.003801254
2932,0.003222589
2934,-0.007987991
2936,0.026179601
2938,-0.041148185
2940,0.037555736
2942,-0.019783633
2944,0.012880124
2946,-0.023786744
2948,0.027645425
2950,-0.004768103
2952,-0.022454979
2954,0.024022389
2956,-0.011375902
2958,-0.011441397
2960,0.016763361
2962,0.023474726
2964,-0.045916291
2966,0.013063659
2968,0.002655117
2970,0.009087107
2972,-0.000442187
2974,-0.013214716
2976,0.013321691
2978,-0.017845421
2980,0.01353596
2982,0.019364748
2984,-0.01340749
2986,-0.005255243
